Title,Available Globally?,Release Date,Hours Viewed,Language Indicator,Content Type
Arnold: Limited Series,Yes,2023-06-07,"5,25,00,000",English,Movie
Better Call Saul: Season 1,No,2015-02-08,"5,25,00,000",English,Show
The King's Affection: Season 1 // 연모: 시즌 1,Yes,2021-10-11,"5,24,00,000",Korean,Show
Shameless (U.S.): Season 1,No,nan,"5,23,00,000",English,Show
Missing: Dead or Alive?: Season 1,Yes,2023-05-10,"5,22,00,000",English,Show
Bodyguard: Season 1,Yes,2018-10-24,"5,20,00,000",English,Show
Dr. Seuss' The Lorax,No,nan,"5,20,00,000",English,Movie
1899: Season 1,Yes,2022-11-17,"5,18,00,000",English,Show
A Tourist's Guide to Love,Yes,2023-04-21,"5,18,00,000",English,Movie
It's Okay to Not Be Okay: Season 1 // 사이코지만 괜찮아: 시즌 1,Yes,2020-06-20,"5,18,00,000",Korean,Show
Vikings (2013): Season 4,No,nan,"5,18,00,000",English,Show
Faraway,Yes,2023-03-08,"5,17,00,000",English,Movie
Blood & Gold,Yes,2023-05-26,"5,16,00,000",English,Movie
I Am Georgina: Season 2 // Soy Georgina: Temporada 2,Yes,2023-03-24,"5,16,00,000",English,Show
The Blacklist: Season 5,No,nan,"5,16,00,000",English,Show
Little Women: Limited Series // 작은 아씨들: 리미티드 시리즈,No,2022-09-03,"5,13,00,000",Korean,Movie
Grey's Anatomy: Season 2,No,nan,"5,12,00,000",English,Show
The Walking Dead: Season 9,No,nan,"5,12,00,000",English,Show
The Office (U.S.): Season 3,No,nan,"5,10,00,000",English,Show
The Last Kingdom: Season 1,Yes,2015-12-28,"5,09,00,000",English,Show
The Endless Night: Limited Series // Todo Dia a Mesma Noite: Minissérie,Yes,2023-01-25,"5,08,00,000",Non-English,Movie
Faithfully Yours,No,2023-05-17,"5,06,00,000",English,Movie
Masha and the Bear: Season 3,No,nan,"5,04,00,000",English,Show
Masha and the Bear: Season 5,No,nan,"5,03,00,000",English,Show
The Office (U.S.): Season 5,No,nan,"5,01,00,000",English,Show
2 Hearts,No,nan,"5,00,00,000",English,Movie
Suits (2011): Season 6,Yes,nan,"5,00,00,000",English,Show
Tin & Tina,Yes,2023-05-26,"4,97,00,000",English,Movie
The Blacklist: Season 6,No,nan,"4,96,00,000",English,Show
Friends (1994): Season 6,No,nan,"4,94,00,000",English,Show
Love Is Blind: Brazil: Season 2 // Casamento às Cegas: Brasil: Temporada 2,Yes,2022-12-28,"4,93,00,000",Non-English,Show
VINLAND SAGA: Season 1 // ヴィンランド・サガ: シーズン1,Yes,nan,"4,93,00,000",Japanese,Show
"Newly Rich, Newly Poor: Season 1 // Nuevo rico, nuevo pobre: Temporada 1",No,nan,"4,92,00,000",English,Show
The Lincoln Lawyer: Season 1,Yes,2022-05-13,"4,92,00,000",English,Show
Brooklyn Nine-Nine: Season 4,No,nan,"4,89,00,000",English,Show
Cobra Kai: Season 5,Yes,2022-09-09,"4,89,00,000",English,Show
Orange Is the New Black: Season 1,Yes,2013-07-11,"4,88,00,000",English,Show
El final del paraíso: Season 1,No,nan,"4,86,00,000",Non-English,Show
Shooter: Season 1,No,2016-11-16,"4,86,00,000",English,Show
Brooklyn Nine-Nine: Season 5,No,nan,"4,85,00,000",English,Show
Rosario Tijeras (Mexico): Season 1,No,nan,"4,85,00,000",English,Show
The Smurfs (2021): Season 1,No,nan,"4,84,00,000",English,Show
Emily in Paris: Season 1,Yes,2020-10-02,"4,83,00,000",English,Show
The Magician's Elephant,Yes,2023-03-17,"4,83,00,000",English,Movie
Friends (1994): Season 5,No,nan,"4,82,00,000",English,Show
Shrek,No,nan,"4,81,00,000",English,Movie
Suits (2011): Season 7,Yes,nan,"4,81,00,000",English,Show
Teen Titans Go!: Season 5,No,nan,"4,81,00,000",English,Show
American Manhunt: The Boston Marathon Bombing: Limited Series,Yes,2023-04-12,"4,79,00,000",English,Movie
Twenty Five Twenty One: Season 1 // 스물다섯 스물하나: 시즌 1,Yes,2022-02-12,"4,78,00,000",Korean,Show
Shrek 2,No,nan,"4,75,00,000",English,Movie
